Time,createOrder,basket,getCatalogue,getItem,getCart,login,getOrders,catalogue,home,tags,getCustomer,viewOrdersPage,cataloguePage,getRelated,addToCart,catalogueSize,getAddress,getCard,showDetails
0.0,0.0,0.0,0.004913,0.007139,0.005339,0.007891,0.011833,0.002447,0.002149,0.005815,0.006756,0.002064,0.00482,0.030742,0.0,0.006756,0.0,0.0,0.002829
5.0,0.0,0.0,0.005451,0.008127,0.006282,0.010061,0.01228,0.003582,0.002507,0.005248,0.006956,0.001814,0.005551,0.004447,0.010423,0.004735,0.0,0.0,0.002507
10.0,0.0,0.003796,0.005633,0.005266,0.005556,0.013502,0.011042,0.002423,0.002239,0.007598,0.007492,0.002186,0.005552,0.005938,0.001327,0.008144,0.0,0.0,0.001995
15.0,0.0,0.002477,0.005923,0.007447,0.005771,0.010113,0.01163,0.003315,0.002211,0.006756,0.006822,0.002704,0.005405,0.006864,0.0047,0.007002,0.006342,0.005565,0.002069
20.0,0.010559,0.002444,0.005524,0.007403,0.00505,0.010337,0.009204,0.002221,0.002326,0.005611,0.007171,0.00225,0.004303,0.007165,0.001754,0.007949,0.004652,0.007951,0.002198
25.0,0.012763,0.002231,0.005434,0.006519,0.004743,0.010567,0.012139,0.001448,0.002438,0.005478,0.00618,0.0022,0.005175,0.006367,0.002544,0.0051,0.006582,0.006778,0.002855
30.0,0.010504,0.001988,0.006127,0.007367,0.006449,0.011164,0.00901,0.002553,0.003475,0.004171,0.007056,0.003572,0.005017,0.007821,0.00568,0.008493,0.007339,0.006211,0.002555
35.0,0.00898,0.002738,0.005244,0.005335,0.006037,0.009984,0.012688,0.002472,0.002001,0.005573,0.005433,0.002582,0.005188,0.006676,0.013079,0.007084,0.003806,0.007952,0.002316
40.0,0.013078,0.003185,0.005059,0.007985,0.004519,0.009851,0.01259,0.00159,0.002323,0.005495,0.006522,0.002548,0.003932,0.005389,0.001319,0.005297,0.006708,0.006028,0.00194
45.0,0.010496,0.002373,0.005254,0.005382,0.005879,0.008998,0.008272,0.002899,0.00227,0.003079,0.00776,0.002023,0.006901,0.006824,0.001844,0.010926,0.005233,0.005265,0.002179
50.0,0.008194,0.002602,0.005253,0.005344,0.004676,0.009089,0.011694,0.003704,0.002471,0.004081,0.006267,0.002458,0.006175,0.006729,0.00177,0.00458,0.004609,0.003917,0.002102
55.0,0.010402,0.00284,0.004598,0.007451,0.006683,0.010498,0.008271,0.002297,0.002235,0.006048,0.006801,0.002778,0.005352,0.006518,0.009952,0.008433,0.004537,0.004676,0.002626
60.0,0.00737,0.002203,0.004812,0.007735,0.0047,0.007434,0.009607,0.002783,0.00228,0.006386,0.006101,0.002634,0.006395,0.004388,0.002232,0.006068,0.00513,0.007802,0.002886
65.0,0.014098,0.003261,0.0046,0.005815,0.004543,0.011683,0.009807,0.002279,0.001791,0.007167,0.004884,0.002125,0.004933,0.005169,0.001507,0.004624,0.011202,0.005006,0.00221
70.0,0.009579,0.002443,0.005603,0.005791,0.004788,0.008054,0.009349,0.002085,0.002199,0.008122,0.00556,0.001961,0.006737,0.006689,0.005468,0.004505,0.00736,0.004652,0.002194
75.0,0.007711,0.001639,0.00497,0.007202,0.005398,0.010228,0.012667,0.002107,0.002469,0.005902,0.007766,0.002905,0.004894,0.007499,0.004191,0.006046,0.005363,0.012523,0.002683
80.0,0.008423,0.003213,0.138597,0.167809,0.004553,0.058245,0.010359,0.001598,0.001739,0.004059,0.038183,0.002356,0.18908,0.091041,0.001806,0.293468,0.00463,0.064175,0.001904
85.0,0.101929,0.002549,0.477522,0.333471,0.005587,0.248055,0.011052,0.001868,0.00184,0.367942,0.150237,0.002028,0.310859,0.25527,0.001932,0.360781,0.254718,0.203919,0.002047
90.0,0.011835,0.00147,0.461861,0.543064,0.005517,0.18222,0.101616,0.001669,0.001672,0.31854,0.098308,0.001677,0.564083,0.416632,0.001597,0.427061,0.134274,0.004124,0.002325
95.0,0.009702,0.001354,0.439645,0.56325,0.004123,0.194492,0.007828,0.002636,0.002759,0.612032,0.216466,0.00234,0.33852,0.340477,0.002233,0.373893,0.381264,0.277822,0.002007
100.0,0.010823,0.002306,0.468177,0.35217,0.004902,0.224506,0.008418,0.00292,0.002392,0.264594,0.14526,0.002008,0.325335,0.337334,0.01277,0.566088,0.20842,0.08604,0.001811
105.0,0.01155,0.002197,0.493793,0.539664,0.004725,0.177594,0.012178,0.002076,0.001583,0.384741,0.227147,0.003084,0.245646,0.359154,0.007923,0.412222,0.202753,0.097346,0.001922
110.0,0.00834,0.001955,0.438197,0.334716,0.006717,0.007995,0.087882,0.001812,0.002181,0.467553,0.256059,0.001803,0.503772,0.412028,0.00718,0.434199,0.239203,0.003954,0.001921
115.0,0.007462,0.001573,0.47395,0.426991,0.005518,0.173605,0.009106,0.00209,0.001771,0.466461,0.245605,0.002044,0.558686,0.352717,0.001406,0.29216,0.17716,0.337896,0.00174
120.0,0.208079,0.002429,0.485614,0.503831,0.009344,0.139865,0.11502,0.037618,0.004777,0.029675,0.276384,0.002327,0.435955,0.678798,0.009333,0.719623,0.004224,0.503052,0.007287
125.0,0.006417,0.001665,0.378801,0.40609,0.004954,0.291466,0.006795,0.001395,0.001128,0.602276,0.298946,0.001268,0.252657,0.380382,0.001269,0.505815,0.502558,0.003455,0.001444
130.0,0.341636,0.00156,0.548721,0.474511,0.002859,0.005449,0.338929,0.001266,0.00225,0.501226,0.080808,0.001854,0.502668,0.502729,0.001356,0.505433,1.003593,0.003919,0.001428
