Time,createOrder,basket,getCatalogue,getItem,getCart,login,getOrders,catalogue,home,tags,getCustomer,viewOrdersPage,cataloguePage,getRelated,addToCart,catalogueSize,getAddress,getCard,showDetails
0.0,0.0,0.0,0.004701,0.0,0.967213,0.142906,0.114479,0.001405,0.001771,0.012703,0.00342,0.001221,0.004284,0.0,0.0,0.010026,0.0,0.0,0.0
5.0,0.0,0.0,0.0037,0.0038,0.032863,0.040904,0.012674,0.001433,0.001695,0.004098,0.003891,0.002091,0.003946,0.003632,0.0,0.003773,0.0,0.0,0.001405
10.0,0.0,0.0,0.004649,0.006669,0.040809,0.048926,0.0,0.001557,0.001609,0.003045,0.005167,0.0,0.00455,0.003952,0.017663,0.007454,0.0,0.0,0.001274
15.0,0.0,0.001836,0.003972,0.005699,0.015338,0.034115,0.008873,0.001459,0.00162,0.003301,0.005135,0.00114,0.003936,0.004679,0.009107,0.008719,0.0,0.0,0.001552
20.0,0.0,0.001367,0.003917,0.003679,0.014678,0.033072,0.012689,0.001312,0.00131,0.003562,0.006482,0.001158,0.003993,0.00581,0.001607,0.009676,0.00334,0.003573,0.001579
25.0,0.012851,0.001924,0.003912,0.007461,0.012766,0.022689,0.008769,0.001571,0.001547,0.008509,0.008576,0.00146,0.003549,0.003929,0.001859,0.008227,0.004035,0.003734,0.001529
30.0,0.009191,0.001572,0.004005,0.006032,0.01167,0.029463,0.012935,0.001289,0.002146,0.003215,0.005266,0.001575,0.004781,0.006438,0.001483,0.004161,0.011917,0.004957,0.005775
35.0,0.007775,0.001492,0.003941,0.006895,0.012794,0.010518,0.007636,0.001102,0.001295,0.002995,0.003517,0.0031,0.004075,0.003349,0.011432,0.010656,0.022679,0.003682,0.001242
40.0,0.009401,0.001627,0.004079,0.007869,0.008367,0.01251,0.008396,0.001215,0.001353,0.003415,0.003504,0.001554,0.004136,0.003356,0.001543,0.003831,0.003407,0.007349,0.001581
45.0,0.012039,0.001208,0.004041,0.003504,0.007431,0.02054,0.007452,0.001204,0.001599,0.012535,0.003566,0.001223,0.003807,0.009539,0.001842,0.01319,0.003194,0.00406,0.001269
50.0,0.00745,0.001193,0.0035,0.003364,0.009504,0.01848,0.012041,0.001265,0.001242,0.009444,0.006676,0.001132,0.003554,0.010568,0.002246,0.003351,0.003311,0.0,0.00141
55.0,0.007574,0.00134,0.003754,0.005745,0.008612,0.026144,0.009984,0.001183,0.001625,0.004403,0.006853,0.001265,0.003555,0.003354,0.001441,0.003934,0.003397,0.005036,0.001235
60.0,0.0,0.001587,0.003833,0.003973,0.008356,0.055832,0.008276,0.00193,0.001212,0.006857,0.006022,0.001188,0.003811,0.003332,0.001701,0.006877,0.003636,0.013181,0.001306
65.0,0.007651,0.001125,0.00359,0.003643,0.007805,0.011232,0.00878,0.00137,0.001326,0.002664,0.00471,0.001464,0.003238,0.00736,0.001472,0.003467,0.003455,0.003437,0.001121
70.0,0.00828,0.001802,0.005194,0.004493,0.011386,0.025509,0.008502,0.001516,0.001589,0.004378,0.006638,0.001537,0.003929,0.006502,0.020839,0.003566,0.004085,0.004665,0.001649
75.0,0.008852,0.001312,0.0046,0.003974,0.005722,0.011229,0.008196,0.00121,0.001414,0.003823,0.003805,0.001249,0.005336,0.003829,0.001475,0.003862,0.003476,0.003697,0.001945
80.0,0.007949,0.001214,0.003827,0.003674,0.009976,0.020477,0.007756,0.001582,0.001354,0.003022,0.005361,0.00138,0.00372,0.007664,0.001496,0.008939,0.003502,0.0,0.001706
85.0,0.007056,0.001191,0.004099,0.003452,0.009479,0.019117,0.007102,0.001397,0.001478,0.008837,0.003604,0.001341,0.003592,0.003445,0.001328,0.004002,0.003713,0.003455,0.001316
90.0,0.007671,0.001296,0.003948,0.00389,0.006225,0.017635,0.007678,0.001189,0.001194,0.003064,0.007484,0.001389,0.003423,0.006994,0.001315,0.003377,0.003995,0.00337,0.001581
95.0,0.007441,0.00148,0.003847,0.008566,0.00575,0.016093,0.007151,0.001221,0.001172,0.002822,0.007875,0.001209,0.003571,0.003679,0.0,0.003402,0.003669,0.004381,0.001261
100.0,0.007089,0.002734,0.003485,0.00337,0.012128,0.01476,0.007948,0.001561,0.001184,0.002998,0.00504,0.001164,0.003538,0.008606,0.001569,0.004347,0.004885,0.003056,0.001652
105.0,0.00681,0.001285,0.004056,0.004771,0.005912,0.027504,0.008119,0.00129,0.00116,0.007771,0.003851,0.00127,0.003909,0.007214,0.001186,0.003752,0.003588,0.003326,0.001861
110.0,0.008659,0.001212,0.003778,0.006881,0.006446,0.013543,0.015252,0.001201,0.001377,0.002654,0.005252,0.001304,0.00558,0.004345,0.00141,0.003648,0.01348,0.011023,0.001342
